Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Special Activities,Success,3,0,2016-07-25 18:45:07 +0530,2016-07-27 12:13:43 +0530,0:00:52
GSX Experience,Success,2,0,2016-07-26 10:01:52 +0530,2016-07-27 11:48:31 +0530,0:01:01
Validating adding Sessions,Failure,3,3,2016-07-26 11:33:29 +0530,2016-07-27 12:16:29 +0530,0:00:00
Schedule,Success,3,0,2016-07-25 16:28:16 +0530,2016-07-27 12:06:19 +0530,0:00:41
Getting Around,Success,2,0,2016-07-26 09:59:35 +0530,2016-07-27 11:45:41 +0530,0:01:00
Wellness,Success,2,1,2016-07-26 10:37:08 +0530,2016-07-27 12:23:54 +0530,0:01:16
Maps,Failure,2,2,2016-07-26 10:04:40 +0530,2016-07-27 12:34:33 +0530,0:00:00
Overview,Success,3,0,2016-07-25 16:29:22 +0530,2016-07-27 12:03:32 +0530,0:00:37
My Notification,Success,3,1,2016-07-25 16:42:33 +0530,2016-07-27 11:55:47 +0530,0:00:47
FAQ,Success,3,0,2016-07-25 18:43:19 +0530,2016-07-27 11:41:00 +0530,0:01:00
Social,Success,2,0,2016-07-26 10:28:26 +0530,2016-07-27 12:10:16 +0530,0:00:52
Activities List,Success,3,0,2016-07-25 16:50:07 +0530,2016-07-27 11:28:10 +0530,0:00:41
Conversations,Success,2,0,2016-07-26 09:53:40 +0530,2016-07-27 11:36:13 +0530,0:00:56
Week at-a-Glance,Success,6,3,2016-07-22 15:54:03 +0530,2016-07-27 12:22:18 +0530,0:00:23
Filters_Category,Success,3,0,2016-07-26 14:38:48 +0530,2016-07-26 15:33:02 +0530,0:00:59
My Surveys,Success,3,0,2016-07-25 16:38:48 +0530,2016-07-27 12:01:03 +0530,0:00:41
Speakers,Success,4,1,2016-07-25 16:17:40 +0530,2016-07-27 12:12:29 +0530,0:00:42
Experiment,Success,3,0,2016-07-26 16:04:10 +0530,2016-07-26 16:32:57 +0530,0:03:36
Dev Net,Success,3,0,2016-07-25 16:53:16 +0530,2016-07-27 11:38:31 +0530,0:00:55
Arrival,Success,2,0,2016-07-26 09:48:25 +0530,2016-07-27 11:30:58 +0530,0:00:53
My Agenda,Success,2,0,2016-07-26 10:10:18 +0530,2016-07-27 11:50:59 +0530,0:00:40
My Recommendations,Success,3,0,2016-07-25 16:36:22 +0530,2016-07-27 11:58:00 +0530,0:00:43
About this app,Success,10,3,2016-07-25 12:41:26 +0530,2016-07-27 11:24:35 +0530,0:01:02
Attendees,Success,2,0,2016-07-26 09:51:44 +0530,2016-07-27 11:33:55 +0530,0:00:55
Validating adding speakers,Success,4,1,2016-07-26 10:57:49 +0530,2016-07-27 12:19:32 +0530,0:01:17
Search,Success,2,0,2016-07-26 12:50:03 +0530,2016-07-27 12:08:12 +0530,0:00:42
