Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Special Activities,Success,5,0,2016-07-25 18:45:07 +0530,2016-07-28 13:35:28 +0530,0:00:53
GSX Experience,Success,5,0,2016-07-26 10:01:52 +0530,2016-07-28 13:13:32 +0530,0:01:17
Validating adding Sessions,Success,10,7,2016-07-26 11:33:29 +0530,2016-07-28 15:29:42 +0530,0:01:19
Schedule,Success,8,0,2016-07-25 16:28:16 +0530,2016-08-02 14:23:18 +0530,0:00:43
Getting Around,Success,6,0,2016-07-26 09:59:35 +0530,2016-08-02 11:56:36 +0530,0:01:10
Wellness,Failure,3,2,2016-07-26 10:37:08 +0530,2016-07-27 14:39:20 +0530,0:01:16
Maps,Failure,2,2,2016-07-26 10:04:40 +0530,2016-07-27 12:34:33 +0530,0:00:00
My Profile,Success,1,0,2016-08-02 15:16:26 +0530,2016-08-02 15:16:26 +0530,0:00:58
Overview,Success,6,0,2016-07-25 16:29:22 +0530,2016-08-02 15:19:51 +0530,0:00:40
Week-at-a-glance,Success,1,0,2016-08-02 14:17:09 +0530,2016-08-02 14:17:09 +0530,0:00:45
My Notification,Success,6,1,2016-07-25 16:42:33 +0530,2016-08-02 15:18:28 +0530,0:00:48
FAQ,Success,8,1,2016-07-25 18:43:19 +0530,2016-08-02 11:54:54 +0530,0:01:17
Social,Success,6,0,2016-07-26 10:28:26 +0530,2016-08-02 15:22:07 +0530,0:00:53
Activities List,Success,9,2,2016-07-25 16:50:07 +0530,2016-08-02 11:42:08 +0530,0:00:54
Conversations,Success,6,0,2016-07-26 09:53:40 +0530,2016-08-02 11:52:26 +0530,0:01:07
Filters_Category,Success,3,0,2016-07-26 14:38:48 +0530,2016-07-26 15:33:02 +0530,0:00:59
Login,Failure,4,4,2016-07-27 14:24:48 +0530,2016-08-02 11:28:33 +0530,0:00:00
Highlights,Success,9,3,2016-07-22 15:54:03 +0530,2016-08-02 14:15:08 +0530,0:00:33
My Surveys,Success,6,0,2016-07-25 16:38:48 +0530,2016-08-02 15:09:19 +0530,0:00:43
Speakers,Success,6,1,2016-07-25 16:17:40 +0530,2016-07-28 13:34:10 +0530,0:00:42
Experiment,Failure,7,2,2016-07-26 16:04:10 +0530,2016-08-01 15:47:36 +0530,0:02:36
Dev Net,Success,7,0,2016-07-25 16:53:16 +0530,2016-08-02 11:53:39 +0530,0:01:09
Arrival,Success,8,1,2016-07-26 09:48:25 +0530,2016-08-02 15:25:36 +0530,0:01:10
My Agenda,Success,6,0,2016-07-26 10:10:18 +0530,2016-08-02 14:26:59 +0530,0:00:46
My Recommendations,Success,6,0,2016-07-25 16:36:22 +0530,2016-08-02 15:07:13 +0530,0:00:45
About this app,Success,17,4,2016-07-25 12:41:26 +0530,2016-08-02 11:33:11 +0530,0:01:26
Attendees,Success,8,1,2016-07-26 09:51:44 +0530,2016-08-02 15:23:30 +0530,0:01:09
Validating adding speakers,Success,8,2,2016-07-26 10:57:49 +0530,2016-07-28 13:38:46 +0530,0:01:13
Search,Success,4,0,2016-07-26 12:50:03 +0530,2016-07-28 13:31:37 +0530,0:00:44
